"名称","名称カナ","住所","TEL","FAX","URL","備考","経度","緯度","分類"
"高坂町内会","ｺｳｻｶﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1611.html","","139.711536739962","35.2394818992943","町内会・自治会マップ"
"久里浜台自治会","ｸﾘﾊﾏﾀﾞｲｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1707.html","","139.714313886496","35.2346724763476","町内会・自治会マップ"
"佐原町内会","ｻﾊﾗﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1712.html","","139.686006396797","35.2382365005903","町内会・自治会マップ"
"野比団地野ばら町内会","ﾉﾋﾞﾀﾞﾝﾁﾉﾊﾞﾗﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1806.html","","139.68403802414","35.2159713880285","町内会・自治会マップ"
"花輪町内会","ﾊﾅﾜﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1808.html","","139.690121605782","35.2154218272439","町内会・自治会マップ"
"芦名町内会","ｱｼﾅﾁｮｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1918.html","","139.618403483562","35.242113448896","町内会・自治会マップ"
"東ノ入自治会","ﾋｶﾞｼﾉｲﾘｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1841.html","","139.696549428276","35.2141585270215","町内会・自治会マップ"
"久留和町内会","ｸﾙﾜﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1916.html","","139.592332615012","35.2505214558864","町内会・自治会マップ"
"秋谷町内会","ｱｷﾔﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1917.html","","139.60920189043","35.2430362040837","町内会・自治会マップ"
"豊島町内会","ﾄｼﾏﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1020.html","","139.669214708458","35.2709426851461","町内会・自治会マップ"
"田戸親睦会","ﾀﾄﾞｼﾝﾎﾞｸｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1010.html","","139.676513312827","35.2712136157055","町内会・自治会マップ"
"岩戸町内会","ｲﾜﾄﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1710.html","","139.680846129098","35.2317451284764","町内会・自治会マップ"
"佐島なぎさの丘自治会","ｻｼﾞﾏﾅｷﾞｻﾉｵｶｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1951.html","","139.614461616156","35.2277773481083","町内会・自治会マップ"
"佐島町内会","ｻｼﾞﾏﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1919.html","","139.611395793767","35.2253556752677","町内会・自治会マップ"
"台町内会","ﾀﾞｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1819.html","","139.680432520293","35.2113790813138","町内会・自治会マップ"
"峯町内会","ﾐﾈﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1818.html","","139.67836388421","35.2173947252407","町内会・自治会マップ"
"林町内会","ﾊﾔｼﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1911.html","","139.636554880824","35.2147112822804","町内会・自治会マップ"
"坂本町６丁目町内会","ｻｶﾓﾄﾁﾖｳ6ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1054.html","","139.649867979573","35.2696806660188","町内会・自治会マップ"
"長岡町内会","ﾅｶﾞｵｶﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1846.html","","139.679939858691","35.2065178573746","町内会・自治会マップ"
"神金町内会","ｶﾘｶﾞﾈﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1409.html","","139.679021397247","35.2623304219833","町内会・自治会マップ"
"根岸町５丁目町内会","ﾈｷﾞｼﾁﾖｳ5ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1516.html","","139.682375731008","35.2557562268145","町内会・自治会マップ"
"公郷台自治会","ｸｺﾞｳﾀﾞｲｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1411.html","","139.676912766786","35.2600975789855","町内会・自治会マップ"
"森崎団地自治会","ﾓﾘｻｷﾀﾞﾝﾁｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1414.html","","139.673356010251","35.2458442199808","町内会・自治会マップ"
"浦賀丘住宅地自治会","ｳﾗｶﾞｵｶｼﾞﾕｳﾀｸﾁｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1640.html","","139.710829045809","35.2433623089516","町内会・自治会マップ"
"池上町会","ｲｹｶﾞﾐﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1403.html","","139.643979339253","35.2649831296171","町内会・自治会マップ"
"田浦町６丁目自治会","ﾀｳﾗﾁﾖｳ6ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1213.html","","139.628261466068","35.2957080335844","町内会・自治会マップ"
"湘南港が丘自治会","ｼﾖｳﾅﾝﾐﾅﾄｶﾞｵｶｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1218.html","","139.626186543028","35.2966327811072","町内会・自治会マップ"
"武町内会","ﾀｹﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1902.html","","139.651269129267","35.2257983385701","町内会・自治会マップ"
"吉井町内会","ﾖｼｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1639.html","","139.700652582566","35.24311204072","町内会・自治会マップ"
"湘南鷹取４丁目自治会","ｼﾖｳﾅﾝﾀｶﾄﾘ4ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1126.html","","139.614581192164","35.3091695190391","町内会・自治会マップ"
"芝生町内会","ｼﾎﾞｳﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1601.html","","139.71038436961","35.2525299963509","町内会・自治会マップ"
"湘南鷹取５丁目自治会","ｼﾖｳﾅﾝﾀｶﾄﾘ5ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1127.html","","139.614679821479","35.3128254040989","町内会・自治会マップ"
"浦賀丘３丁目自治会","ｳﾗｶﾞｵｶ3ﾁﾖｳﾒｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1641.html","","139.715866121306","35.2428056387843","町内会・自治会マップ"
"浦賀７丁目町内会","ｳﾗｶﾞ7ﾁﾖｳﾒﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1603.html","","139.71561075807","35.2436552959015","町内会・自治会マップ"
"宮下町内会","ﾐﾔｼﾀﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1605.html","","139.718322338287","35.2420351852129","町内会・自治会マップ"
"須軽谷町内会","ｽｶﾞﾙﾔﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1914.html","","139.648866201566","35.2122598934064","町内会・自治会マップ"
