男女,市区町村コード,町丁字コード,地域階層レベル,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数,徒歩のみ,鉄道・電車,乗合バス,勤め先・学校のバス,自家用車,ハイヤー・タクシー,オートバイ,自転車,その他,利用交通手段「不詳」
総数,14211,60,2,,,,神奈川県,秦野市,末広町,,95,14,34,18,-,30,-,4,7,-,2
総数,14211,70,2,,,,神奈川県,秦野市,入船町,,243,34,76,31,8,90,-,12,20,-,6
総数,14211,80,3,,,,神奈川県,秦野市,曽屋,,4987,640,1225,666,72,2320,6,260,432,72,147
総数,14211,8001,4,,,,神奈川県,秦野市,曽屋,一丁目,216,36,53,26,4,84,1,5,17,4,3
総数,14211,8002,4,,,,神奈川県,秦野市,曽屋,二丁目,343,39,90,37,11,161,1,16,29,8,3
総数,14211,8010,4,,,,神奈川県,秦野市,曽屋,,4281,536,1055,574,55,2023,4,232,373,58,134
総数,14211,8011,4,,,,神奈川県,秦野市,曽屋,,147,29,27,29,2,52,-,7,13,2,7
総数,14211,100,2,,,,神奈川県,秦野市,寿町,,286,58,100,32,3,93,1,5,18,5,4
総数,14211,110,2,,,,神奈川県,秦野市,栄町,,175,44,50,19,9,57,-,2,7,2,2
総数,14211,120,2,,,,神奈川県,秦野市,文京町,,139,19,43,10,2,52,-,4,11,1,4
総数,14211,130,2,,,,神奈川県,秦野市,幸町,,223,29,73,16,5,91,-,4,18,1,6
総数,14211,140,3,,,,神奈川県,秦野市,桜町,,452,55,159,64,9,178,1,16,42,6,5
総数,14211,14001,4,,,,神奈川県,秦野市,桜町,一丁目,172,21,67,22,4,59,-,8,16,3,2
総数,14211,14002,4,,,,神奈川県,秦野市,桜町,二丁目,280,34,92,42,5,119,1,8,26,3,3
総数,14211,160,2,,,,神奈川県,秦野市,水神町,,321,52,96,38,7,120,-,13,33,3,2
総数,14211,170,2,,,,神奈川県,秦野市,ひばりケ丘,,373,35,102,38,8,164,1,24,44,8,5
総数,14211,180,2,,,,神奈川県,秦野市,富士見町,,140,22,40,32,-,56,1,4,12,1,2
総数,14211,200,2,,,,神奈川県,秦野市,上大槻,,559,49,135,68,17,288,-,27,41,7,18
総数,14211,210,2,,,,神奈川県,秦野市,新町,,448,85,104,76,6,182,1,12,51,15,16
総数,14211,220,2,,,,神奈川県,秦野市,鈴張町,,208,23,54,33,3,104,-,10,24,-,7
総数,14211,230,2,,,,神奈川県,秦野市,緑町,,535,53,120,85,7,268,-,23,48,10,16
総数,14211,240,2,,,,神奈川県,秦野市,清水町,,442,46,120,44,5,212,1,12,49,4,16
総数,14211,250,2,,,,神奈川県,秦野市,平沢,,3744,342,983,337,95,1804,7,173,496,57,97
総数,14211,260,2,,,,神奈川県,秦野市,上今川町,,334,32,108,40,7,137,-,7,23,2,14
総数,14211,270,2,,,,神奈川県,秦野市,今川町,,343,50,150,44,10,100,1,8,10,4,4
総数,14211,280,2,,,,神奈川県,秦野市,今泉,,3072,247,1115,268,77,1301,4,97,262,43,52
総数,14211,290,2,,,,神奈川県,秦野市,大秦町,,175,15,53,25,12,68,-,5,13,2,1
総数,14211,300,2,,,,神奈川県,秦野市,室町,,391,36,177,35,23,128,1,6,17,5,9
総数,14211,310,2,,,,神奈川県,秦野市,尾尻,,1564,165,605,151,42,588,4,50,83,11,31
総数,14211,320,2,,,,神奈川県,秦野市,西大竹,,568,52,138,86,6,291,1,40,40,7,18
総数,14211,330,3,,,,神奈川県,秦野市,南が丘,,2215,169,862,702,46,912,5,92,96,33,34
総数,14211,33001,4,,,,神奈川県,秦野市,南が丘,一丁目,422,28,170,106,3,188,1,12,25,3,12
総数,14211,33002,4,,,,神奈川県,秦野市,南が丘,二丁目,566,54,188,178,10,225,3,40,26,10,11
総数,14211,33003,4,,,,神奈川県,秦野市,南が丘,三丁目,762,57,339,313,27,278,-,18,24,13,4
総数,14211,33004,4,,,,神奈川県,秦野市,南が丘,四丁目,287,20,96,67,2,143,1,10,10,7,4
総数,14211,33005,4,,,,神奈川県,秦野市,南が丘,五丁目,178,10,69,38,4,78,-,12,11,-,3
総数,14211,340,3,,,,神奈川県,秦野市,今泉台,,768,61,335,40,15,295,1,20,57,8,10
総数,14211,34001,4,,,,神奈川県,秦野市,今泉台,一丁目,197,22,85,7,3,68,-,3,15,1,3
総数,14211,34002,4,,,,神奈川県,秦野市,今泉台,二丁目,187,13,94,16,3,64,-,5,8,3,1
総数,14211,34003,4,,,,神奈川県,秦野市,今泉台,三丁目,384,26,156,17,9,163,1,12,34,4,6
総数,14211,350,3,,,,神奈川県,秦野市,立野台,,587,78,196,77,9,267,-,20,45,16,9
総数,14211,35001,4,,,,神奈川県,秦野市,立野台,一丁目,156,23,43,24,3,79,-,5,15,5,1
総数,14211,35002,4,,,,神奈川県,秦野市,立野台,二丁目,21,2,8,2,-,9,-,1,2,-,-
総数,14211,35003,4,,,,神奈川県,秦野市,立野台,三丁目,410,53,145,51,6,179,-,14,28,11,8
総数,14211,380,2,,,,神奈川県,秦野市,落合,,941,98,252,112,13,502,3,32,74,10,21
総数,14211,390,2,,,,神奈川県,秦野市,名古木,,977,50,237,163,13,585,-,44,60,9,22
総数,14211,400,2,,,,神奈川県,秦野市,寺山,,627,24,142,132,5,373,-,33,18,6,23
総数,14211,410,2,,,,神奈川県,秦野市,小蓑毛,,72,2,16,12,2,46,-,6,2,-,2
総数,14211,420,2,,,,神奈川県,秦野市,蓑毛,,185,5,45,40,1,122,-,4,-,1,3
総数,14211,430,2,,,,神奈川県,秦野市,東田原,,2611,186,592,526,31,1436,5,155,172,41,44
総数,14211,440,2,,,,神奈川県,秦野市,西田原,,1444,146,271,237,15,768,2,94,115,26,42
総数,14211,450,2,,,,神奈川県,秦野市,下落合,,267,41,64,17,1,133,1,18,20,5,1
総数,14211,460,2,,,,神奈川県,秦野市,羽根,,960,91,193,133,18,531,-,63,97,10,20
総数,14211,470,2,,,,神奈川県,秦野市,菩提,,942,64,186,130,11,548,1,44,64,6,61
総数,14211,480,2,,,,神奈川県,秦野市,横野,,236,7,49,40,6,145,-,5,7,5,13
総数,14211,490,2,,,,神奈川県,秦野市,戸川,,3412,311,795,395,45,1839,7,195,401,55,85
総数,14211,500,2,,,,神奈川県,秦野市,三屋,,519,64,127,66,2,241,-,22,71,6,14
総数,14211,512,3,,,,神奈川県,秦野市,鶴巻北,,1705,172,945,175,66,451,1,42,60,23,55
総数,14211,51201,4,,,,神奈川県,秦野市,鶴巻北,一丁目,494,51,268,41,15,140,-,11,19,7,12
総数,14211,51202,4,,,,神奈川県,秦野市,鶴巻北,二丁目,676,64,379,79,37,170,1,19,29,9,28
総数,14211,51203,4,,,,神奈川県,秦野市,鶴巻北,三丁目,535,57,298,55,14,141,-,12,12,7,15
総数,14211,513,3,,,,神奈川県,秦野市,鶴巻南,,3642,422,1678,275,86,1106,5,141,201,50,141
総数,14211,51301,4,,,,神奈川県,秦野市,鶴巻南,一丁目,718,140,318,49,16,177,1,23,48,7,27
総数,14211,51302,4,,,,神奈川県,秦野市,鶴巻南,二丁目,953,92,425,77,22,292,2,47,63,12,47
総数,14211,51303,4,,,,神奈川県,秦野市,鶴巻南,三丁目,460,32,172,30,8,196,-,25,32,8,19
総数,14211,51304,4,,,,神奈川県,秦野市,鶴巻南,四丁目,904,116,461,82,22,231,-,28,32,14,33
総数,14211,51305,4,,,,神奈川県,秦野市,鶴巻南,五丁目,607,42,302,37,18,210,2,18,26,9,15
総数,14211,514,3,,,,神奈川県,秦野市,鶴巻,,1309,90,619,88,41,472,-,50,48,15,55
総数,14211,51400,4,,,,神奈川県,秦野市,鶴巻,,385,27,153,24,15,168,-,26,9,4,17
総数,14211,51401,4,,,,神奈川県,秦野市,鶴巻,,924,63,466,64,26,304,-,24,39,11,38
総数,14211,520,3,,,,神奈川県,秦野市,北矢名,,2712,270,1154,179,57,995,6,135,154,28,103
総数,14211,52000,4,,,,神奈川県,秦野市,北矢名,,2439,218,1041,158,49,932,5,125,132,27,85
総数,14211,52001,4,,,,神奈川県,秦野市,北矢名,,273,52,113,21,8,63,1,10,22,1,18
総数,14211,530,3,,,,神奈川県,秦野市,南矢名,,6468,1151,2266,698,130,2007,9,318,630,67,270
総数,14211,53001,4,,,,神奈川県,秦野市,南矢名,一丁目,251,65,102,12,8,24,-,19,26,1,20
総数,14211,53002,4,,,,神奈川県,秦野市,南矢名,二丁目,399,143,142,24,6,52,-,6,20,6,35
総数,14211,53003,4,,,,神奈川県,秦野市,南矢名,三丁目,346,109,104,13,6,67,-,10,37,3,22
総数,14211,53004,4,,,,神奈川県,秦野市,南矢名,四丁目,473,68,234,27,13,108,1,19,31,6,18
総数,14211,53005,4,,,,神奈川県,秦野市,南矢名,五丁目,410,50,178,26,10,123,-,14,44,3,14
総数,14211,53010,4,,,,神奈川県,秦野市,南矢名,,777,85,335,67,21,244,-,33,61,8,37
総数,14211,53011,4,,,,神奈川県,秦野市,南矢名,,2330,500,671,248,41,743,4,122,291,23,85
総数,14211,53012,4,,,,神奈川県,秦野市,南矢名,,1482,131,500,281,25,646,4,95,120,17,39
総数,14211,540,2,,,,神奈川県,秦野市,下大槻,,1664,128,452,366,27,778,2,108,143,28,33
総数,14211,550,2,,,,神奈川県,秦野市,並木町,,659,46,259,62,9,289,-,18,47,6,9
総数,14211,560,2,,,,神奈川県,秦野市,弥生町,,426,42,124,45,4,199,1,12,35,4,11
総数,14211,570,2,,,,神奈川県,秦野市,春日町,,435,41,156,33,5,172,-,17,32,2,14
総数,14211,580,2,,,,神奈川県,秦野市,松原町,,418,67,165,20,13,139,-,8,30,8,4
総数,14211,590,2,,,,神奈川県,秦野市,堀西,,3091,232,1038,278,62,1411,6,130,262,33,109
総数,14211,600,2,,,,神奈川県,秦野市,堀川,,1712,202,572,109,43,700,-,61,147,24,40
総数,14211,610,2,,,,神奈川県,秦野市,堀山下,,1771,166,477,220,34,885,2,65,194,26,51
総数,14211,620,2,,,,神奈川県,秦野市,沼代新町,,775,56,290,49,14,331,3,19,60,10,11
総数,14211,630,3,,,,神奈川県,秦野市,柳町,,268,42,123,18,5,85,1,3,12,1,4
総数,14211,63001,4,,,,神奈川県,秦野市,柳町,一丁目,161,25,77,10,3,46,1,2,6,1,2
総数,14211,63002,4,,,,神奈川県,秦野市,柳町,二丁目,107,17,46,8,2,39,-,1,6,-,2
総数,14211,650,2,,,,神奈川県,秦野市,若松町,,314,42,119,23,8,115,-,7,17,3,10
総数,14211,660,2,,,,神奈川県,秦野市,萩が丘,,660,66,270,44,16,241,3,21,27,8,25
総数,14211,670,3,,,,神奈川県,秦野市,曲松,,1004,96,431,68,35,356,-,28,43,8,40
総数,14211,67001,4,,,,神奈川県,秦野市,曲松,一丁目,423,54,187,32,11,133,-,13,15,5,19
総数,14211,67002,4,,,,神奈川県,秦野市,曲松,二丁目,581,42,244,36,24,223,-,15,28,3,21
総数,14211,700,2,,,,神奈川県,秦野市,栃窪,,126,9,25,6,1,69,-,8,9,4,6
総数,14211,710,2,合算地域あり,,74000,神奈川県,秦野市,千村,,173,12,63,13,3,87,-,12,8,1,5
総数,14211,720,3,,,,神奈川県,秦野市,渋沢,,3487,259,1200,262,80,1630,8,148,242,39,73
総数,14211,72000,4,,,,神奈川県,秦野市,渋沢,,1524,108,473,136,38,762,7,72,98,16,31
総数,14211,72001,4,,,,神奈川県,秦野市,渋沢,一丁目,481,28,176,31,12,203,-,17,29,8,20
総数,14211,72002,4,,,,神奈川県,秦野市,渋沢,二丁目,982,93,356,62,20,433,1,37,65,11,11
総数,14211,72003,4,,,,神奈川県,秦野市,渋沢,三丁目,500,30,195,33,10,232,-,22,50,4,11
総数,14211,730,3,,,,神奈川県,秦野市,渋沢上,,588,46,205,37,12,262,1,29,48,4,19
総数,14211,73001,4,,,,神奈川県,秦野市,渋沢上,一丁目,313,26,119,22,6,130,-,10,24,1,13
総数,14211,73002,4,,,,神奈川県,秦野市,渋沢上,二丁目,275,20,86,15,6,132,1,19,24,3,6
総数,14211,740,3,,,,神奈川県,秦野市,千村,,1600,90,581,172,33,729,1,90,89,31,31
総数,14211,74000,4,秘匿地域,710,,神奈川県,秦野市,千村,,X,X,X,X,X,X,X,X,X,X,X
総数,14211,74001,4,,,,神奈川県,秦野市,千村,一丁目,268,11,87,26,9,128,-,12,16,4,6
総数,14211,74002,4,,,,神奈川県,秦野市,千村,二丁目,269,19,105,20,1,121,-,9,23,3,8
総数,14211,74003,4,,,,神奈川県,秦野市,千村,三丁目,416,20,148,68,11,183,1,30,15,8,12
総数,14211,74004,4,,,,神奈川県,秦野市,千村,四丁目,372,20,136,38,6,172,-,30,17,8,2
総数,14211,74005,4,,,,神奈川県,秦野市,千村,五丁目,275,20,105,20,6,125,-,9,18,8,3
総数,14211,750,2,,,,神奈川県,秦野市,菖蒲,,440,18,119,38,3,294,-,18,8,6,20
総数,14211,760,2,,,,神奈川県,秦野市,三廻部,,118,7,34,9,1,77,-,3,6,5,3
総数,14211,770,2,,,,神奈川県,秦野市,柳川,,122,4,25,6,1,93,-,2,5,1,5
総数,14211,780,2,,,,神奈川県,秦野市,八沢,,122,17,21,4,1,72,-,4,5,6,9
総数,14212,-,1,,,,神奈川県,厚木市,,,104499,11110,22981,16507,2241,44684,121,5411,16468,1476,2671
総数,14212,10,3,,,,神奈川県,厚木市,松枝,,853,120,258,112,39,220,2,25,216,13,12
総数,14212,1001,4,,,,神奈川県,厚木市,松枝,一丁目,668,101,212,92,30,165,1,12,167,11,8
総数,14212,1002,4,,,,神奈川県,厚木市,松枝,二丁目,185,19,46,20,9,55,1,13,49,2,4
総数,14212,30,2,,,,神奈川県,厚木市,元町,,734,115,253,71,28,160,1,18,175,9,17
総数,14212,40,2,,,,神奈川県,厚木市,東町,,473,80,182,68,12,89,1,7,67,6,9
総数,14212,50,3,,,,神奈川県,厚木市,寿町,,1544,290,573,153,45,334,1,23,223,16,35
総数,14212,5001,4,,,,神奈川県,厚木市,寿町,一丁目,493,86,187,66,17,96,-,7,72,8,12
総数,14212,5002,4,,,,神奈川県,厚木市,寿町,二丁目,824,176,302,66,24,181,1,10,109,5,18
総数,14212,5003,4,,,,神奈川県,厚木市,寿町,三丁目,227,28,84,21,4,57,-,6,42,3,5
総数,14212,80,3,,,,神奈川県,厚木市,水引,,1785,306,498,182,54,495,-,50,342,33,60
総数,14212,8001,4,,,,神奈川県,厚木市,水引,一丁目,713,133,236,75,26,165,-,16,119,9,16
総数,14212,8002,4,,,,神奈川県,厚木市,水引,二丁目,1072,173,262,107,28,330,-,34,223,24,44
総数,14212,100,2,,,,神奈川県,厚木市,厚木町,,348,79,127,40,12,57,-,8,41,6,10
総数,14212,110,3,,,,神奈川県,厚木市,中町,,1978,443,801,251,101,329,5,21,188,20,49
総数,14212,11001,4,,,,神奈川県,厚木市,中町,一丁目,380,79,141,51,15,76,-,2,39,4,9
総数,14212,11002,4,,,,神奈川県,厚木市,中町,二丁目,633,145,257,88,28,123,1,7,48,7,10
総数,14212,11003,4,,,,神奈川県,厚木市,中町,三丁目,561,127,244,73,28,65,3,7,58,6,18
総数,14212,11004,4,,,,神奈川県,厚木市,中町,四丁目,404,92,159,39,30,65,1,5,43,3,12
総数,14212,150,3,,,,神奈川県,厚木市,栄町,,1996,377,708,218,93,456,6,39,271,18,45
総数,14212,15001,4,,,,神奈川県,厚木市,栄町,一丁目,1179,239,432,129,58,231,2,26,143,12,35
総数,14212,15002,4,,,,神奈川県,厚木市,栄町,二丁目,817,138,276,89,35,225,4,13,128,6,10
総数,14212,170,2,,,,神奈川県,厚木市,田村町,,1241,237,461,97,59,253,2,17,197,19,42
総数,14212,180,2,合算地域あり,,200,神奈川県,厚木市,幸町,,365,74,131,41,20,60,1,10,52,1,9
総数,14212,190,2,,,,神奈川県,厚木市,泉町,,413,98,164,52,21,55,1,4,43,8,19
総数,14212,200,2,秘匿地域,180,,神奈川県,厚木市,厚木,,X,X,X,X,X,X,X,X,X,X,X
総数,14212,210,3,,,,神奈川県,厚木市,旭町,,4032,858,1431,396,160,802,8,76,526,52,151
総数,14212,21001,4,,,,神奈川県,厚木市,旭町,一丁目,522,110,207,61,36,81,4,5,46,4,25
総数,14212,21002,4,,,,神奈川県,厚木市,旭町,二丁目,721,118,308,104,30,134,-,10,54,6,36
総数,14212,21003,4,,,,神奈川県,厚木市,旭町,三丁目,895,159,311,82,40,200,-,21,149,10,21
総数,14212,21004,4,,,,神奈川県,厚木市,旭町,四丁目,467,178,98,43,9,73,1,14,56,4,35
総数,14212,21005,4,,,,神奈川県,厚木市,旭町,五丁目,1427,293,507,106,45,314,3,26,221,28,34
総数,14212,260,2,,,,神奈川県,厚木市,吾妻町,,401,29,57,60,15,150,-,26,102,6,17
総数,14212,270,2,,,,神奈川県,厚木市,南町,,474,59,149,29,18,148,-,9,136,12,5
総数,14212,280,2,,,,神奈川県,厚木市,上依知,,2773,223,316,230,30,1664,5,187,357,60,69
総数,14212,290,2,,,,神奈川県,厚木市,猿ケ島,,79,2,11,3,-,66,-,2,6,2,-
総数,14212,300,2,,,,神奈川県,厚木市,山際,,3205,224,373,415,27,1811,2,245,458,48,65
総数,14212,310,2,,,,神奈川県,厚木市,関口,,1737,74,245,284,19,1032,2,108,214,26,41
総数,14212,320,2,,,,神奈川県,厚木市,中依知,,1021,55,180,184,15,558,2,74,101,20,23
総数,14212,331,3,,,,神奈川県,厚木市,下依知,,1356,83,223,214,9,734,2,88,216,18,32
総数,14212,33101,4,,,,神奈川県,厚木市,下依知,一丁目,232,9,34,46,-,131,1,11,40,5,4
総数,14212,33102,4,,,,神奈川県,厚木市,下依知,二丁目,615,37,104,113,5,313,-,45,95,9,19
総数,14212,33103,4,,,,神奈川県,厚木市,下依知,三丁目,509,37,85,55,4,290,1,32,81,4,9
総数,14212,332,2,,,,神奈川県,厚木市,下依知,,4,-,1,1,-,3,-,-,-,-,-
総数,14212,340,2,,,,神奈川県,厚木市,金田,,1619,107,302,312,17,790,1,91,289,29,42
総数,14212,350,2,,,,神奈川県,厚木市,下川入,,2116,224,208,192,26,1146,2,111,360,41,47
総数,14212,360,2,,,,神奈川県,厚木市,棚沢,,401,64,42,52,4,215,1,26,34,6,7
総数,14212,371,3,,,,神奈川県,厚木市,三田南,,1419,102,241,307,26,660,1,90,235,19,57
総数,14212,37101,4,,,,神奈川県,厚木市,三田南,一丁目,324,21,60,70,6,153,1,25,51,5,10
総数,14212,37102,4,,,,神奈川県,厚木市,三田南,二丁目,591,43,96,124,10,288,-,36,75,12,29
総数,14212,37103,4,,,,神奈川県,厚木市,三田南,三丁目,504,38,85,113,10,219,-,29,109,2,18
総数,14212,373,3,,,,神奈川県,厚木市,三田,,1604,152,223,290,20,765,1,102,277,29,36
総数,14212,37301,4,,,,神奈川県,厚木市,三田,一丁目,383,35,50,71,5,196,1,23,58,7,1
総数,14212,37302,4,,,,神奈川県,厚木市,三田,二丁目,684,63,90,121,7,320,-,46,117,11,23
総数,14212,37303,4,,,,神奈川県,厚木市,三田,三丁目,537,54,83,98,8,249,-,33,102,11,12
総数,14212,374,2,,,,神奈川県,厚木市,三田,,1351,129,203,165,11,741,1,92,132,20,74
総数,14212,381,3,,,,神奈川県,厚木市,及川,,1040,71,159,215,26,488,1,59,166,21,34
総数,14212,38101,4,,,,神奈川県,厚木市,及川,一丁目,553,30,82,114,19,265,1,37,92,11,25
総数,14212,38102,4,,,,神奈川県,厚木市,及川,二丁目,487,41,77,101,7,223,-,22,74,10,9
総数,14212,382,2,,,,神奈川県,厚木市,及川,,358,14,48,47,2,199,-,23,62,4,17
総数,14212,390,3,,,,神奈川県,厚木市,林,,2936,237,597,498,40,1293,3,173,690,47,51
総数,14212,39001,4,,,,神奈川県,厚木市,林,一丁目,436,39,95,56,-,190,-,23,108,8,10
総数,14212,39002,4,,,,神奈川県,厚木市,林,二丁目,1137,111,230,205,12,472,1,57,281,20,16
総数,14212,39003,4,,,,神奈川県,厚木市,林,三丁目,378,23,80,75,3,172,-,27,80,-,8
総数,14212,39004,4,,,,神奈川県,厚木市,林,四丁目,616,44,114,102,20,275,-,50,131,10,11
総数,14212,39005,4,,,,神奈川県,厚木市,林,五丁目,369,20,78,60,5,184,2,16,90,9,6
総数,14212,400,3,,,,神奈川県,厚木市,妻田南,,1373,106,378,353,33,485,-,39,297,24,28
総数,14212,40001,4,,,,神奈川県,厚木市,妻田南,一丁目,1140,95,326,299,27,378,-,26,261,20,23
総数,14212,40002,4,,,,神奈川県,厚木市,妻田南,二丁目,233,11,52,54,6,107,-,13,36,4,5
総数,14212,410,3,,,,神奈川県,厚木市,妻田東,,2913,202,710,625,54,1140,3,153,608,39,90
総数,14212,41001,4,,,,神奈川県,厚木市,妻田東,一丁目,1524,116,408,316,30,541,1,69,353,19,33
総数,14212,41002,4,,,,神奈川県,厚木市,妻田東,二丁目,538,42,124,112,9,205,-,30,112,8,35
総数,14212,41003,4,,,,神奈川県,厚木市,妻田東,三丁目,851,44,178,197,15,394,2,54,143,12,22
総数,14212,450,3,,,,神奈川県,厚木市,妻田西,,2299,144,452,517,41,1050,-,132,416,33,56
総数,14212,45001,4,,,,神奈川県,厚木市,妻田西,一丁目,793,44,135,152,17,363,-,38,155,8,30
総数,14212,45002,4,,,,神奈川県,厚木市,妻田西,二丁目,692,55,159,162,11,302,-,40,126,12,12
総数,14212,45003,4,,,,神奈川県,厚木市,妻田西,三丁目,814,45,158,203,13,385,-,54,135,13,14
総数,14212,480,3,,,,神奈川県,厚木市,妻田北,,2612,167,566,657,41,1162,2,137,430,30,68
総数,14212,48001,4,,,,神奈川県,厚木市,妻田北,一丁目,684,48,170,215,8,268,-,33,101,6,17
総数,14212,48002,4,,,,神奈川県,厚木市,妻田北,二丁目,541,29,112,111,11,257,2,33,110,5,15
総数,14212,48003,4,,,,神奈川県,厚木市,妻田北,三丁目,1073,78,208,247,16,495,-,51,172,17,26
総数,14212,48004,4,,,,神奈川県,厚木市,妻田北,四丁目,314,12,76,84,6,142,-,20,47,2,10
総数,14212,520,3,,,,神奈川県,厚木市,王子,,554,46,128,131,10,231,1,42,101,5,1
総数,14212,52001,4,,,,神奈川県,厚木市,王子,一丁目,227,21,58,60,4,93,-,7,45,1,1
総数,14212,52002,4,,,,神奈川県,厚木市,王子,二丁目,215,18,53,49,-,90,1,18,37,3,-
総数,14212,52003,4,,,,神奈川県,厚木市,王子,三丁目,112,7,17,22,6,48,-,17,19,1,-
総数,14212,551,3,,,,神奈川県,厚木市,みはる野,,2010,77,370,346,23,1153,1,120,288,20,44
総数,14212,55101,4,,,,神奈川県,厚木市,みはる野,一丁目,1014,37,174,166,6,568,1,61,159,14,22
総数,14212,55102,4,,,,神奈川県,厚木市,みはる野,二丁目,996,40,196,180,17,585,-,59,129,6,22
総数,14212,552,2,,,,神奈川県,厚木市,まつかげ台,,780,16,120,136,16,497,-,45,45,14,21
総数,14212,553,2,,,,神奈川県,厚木市,上荻野,,2241,82,262,346,38,1454,-,127,157,22,70
総数,14212,560,2,,,,神奈川県,厚木市,中荻野,,539,26,73,93,6,310,-,27,51,11,34
総数,14212,570,2,,,,神奈川県,厚木市,下荻野,,4025,658,530,659,48,1789,-,218,567,68,149
総数,14212,580,3,,,,神奈川県,厚木市,鳶尾,,2592,176,388,480,24,1444,1,141,257,32,78
総数,14212,58001,4,,,,神奈川県,厚木市,鳶尾,一丁目,669,54,114,122,3,379,-,41,86,4,6
総数,14212,58002,4,,,,神奈川県,厚木市,鳶尾,二丁目,754,55,111,137,11,433,-,37,55,12,15
総数,14212,58003,4,,,,神奈川県,厚木市,鳶尾,三丁目,292,20,30,61,4,158,-,17,15,5,12
総数,14212,58004,4,,,,神奈川県,厚木市,鳶尾,四丁目,402,30,48,65,1,203,-,22,55,5,30
総数,14212,58005,4,,,,神奈川県,厚木市,鳶尾,五丁目,475,17,85,95,5,271,1,24,46,6,15
総数,14212,630,2,,,,神奈川県,厚木市,飯山,,4806,354,769,861,50,2478,5,369,648,69,132
総数,14212,640,2,,,,神奈川県,厚木市,上古沢,,237,12,31,25,2,151,-,17,18,3,13
総数,14212,650,2,,,,神奈川県,厚木市,下古沢,,246,13,28,24,-,153,-,27,21,5,13
総数,14212,660,3,,,,神奈川県,厚木市,宮の里,,932,10,141,174,14,605,-,60,57,12,27
総数,14212,66001,4,,,,神奈川県,厚木市,宮の里,一丁目,375,4,57,70,4,239,-,26,26,4,16
総数,14212,66002,4,,,,神奈川県,厚木市,宮の里,二丁目,83,-,13,19,2,55,-,7,6,1,-
総数,14212,66003,4,,,,神奈川県,厚木市,宮の里,三丁目,175,-,26,25,3,116,-,11,9,3,8
総数,14212,66004,4,,,,神奈川県,厚木市,宮の里,四丁目,299,6,45,60,5,195,-,16,16,4,3
総数,14212,701,3,,,,神奈川県,厚木市,戸室,,3954,534,931,623,65,1380,8,193,963,52,52
総数,14212,70101,4,,,,神奈川県,厚木市,戸室,一丁目,1265,174,314,180,23,369,5,50,370,22,22
総数,14212,70102,4,,,,神奈川県,厚木市,戸室,二丁目,541,80,161,88,10,174,-,14,117,6,5
総数,14212,70103,4,,,,神奈川県,厚木市,戸室,三丁目,635,94,117,95,15,243,-,31,135,9,11
総数,14212,70104,4,,,,神奈川県,厚木市,戸室,四丁目,687,76,156,107,4,281,1,39,182,9,3
総数,14212,70105,4,,,,神奈川県,厚木市,戸室,五丁目,826,110,183,153,13,313,2,59,159,6,11
総数,14212,711,3,,,,神奈川県,厚木市,恩名,,4363,729,1233,526,82,1433,7,162,850,47,73
総数,14212,71101,4,,,,神奈川県,厚木市,恩名,一丁目,1197,203,383,84,37,354,3,33,211,11,17
総数,14212,71102,4,,,,神奈川県,厚木市,恩名,二丁目,819,107,254,88,13,277,1,22,157,8,10
総数,14212,71103,4,,,,神奈川県,厚木市,恩名,三丁目,843,128,237,98,17,273,1,33,194,13,18
総数,14212,71104,4,,,,神奈川県,厚木市,恩名,四丁目,389,49,100,69,6,142,1,16,82,4,11
総数,14212,71105,4,,,,神奈川県,厚木市,恩名,五丁目,1115,242,259,187,9,387,1,58,206,11,17
総数,14212,712,2,,,,神奈川県,厚木市,恩名,,6,1,-,1,-,3,-,-,-,1,-
総数,14212,720,2,,,,神奈川県,厚木市,愛名,,1991,129,356,349,37,1011,5,174,280,29,31
総数,14212,731,3,,,,神奈川県,厚木市,温水西,,1832,107,411,379,22,864,3,129,324,31,25
総数,14212,73101,4,,,,神奈川県,厚木市,温水西,一丁目,1029,60,225,192,11,505,2,68,204,9,13
総数,14212,73102,4,,,,神奈川県,厚木市,温水西,二丁目,803,47,186,187,11,359,1,61,120,22,12
総数,14212,732,2,,,,神奈川県,厚木市,温水,,1993,260,405,320,23,823,3,119,406,23,57
総数,14212,740,2,,,,神奈川県,厚木市,長谷,,3336,517,592,593,43,1347,3,204,579,50,83
総数,14212,750,2,,,,神奈川県,厚木市,船子,,1010,132,223,103,22,398,4,46,221,14,17
総数,14212,761,3,,,,神奈川県,厚木市,愛甲,,2855,269,955,267,285,902,1,106,290,34,89
総数,14212,76101,4,,,,神奈川県,厚木市,愛甲,一丁目,778,78,247,104,119,209,-,22,72,8,23
総数,14212,76102,4,,,,神奈川県,厚木市,愛甲,二丁目,942,76,358,87,70,310,1,37,89,7,25
総数,14212,76103,4,,,,神奈川県,厚木市,愛甲,三丁目,453,57,125,22,37,149,-,13,50,7,27
総数,14212,76104,4,,,,神奈川県,厚木市,愛甲,四丁目,682,58,225,54,59,234,-,34,79,12,14
総数,14212,762,3,,,,神奈川県,厚木市,愛甲東,,867,85,304,90,76,272,-,39,81,14,23
総数,14212,76201,4,,,,神奈川県,厚木市,愛甲東,一丁目,434,41,165,49,34,129,-,16,38,9,11
